Student_ID,Student_Name,Age,Gender,Department,Attendance_Rate,CA_Score,MidSem_Score,Prev_CGPA,Study_Hours_Week
STU/AS/2021/00024,Catherine Zakariyau,27,Female,Agricultural Science,33.4,18.6,5.6,1.62,17.9
STU/S/2024/00025,Uju Dada,20,Female,Statistics,45.2,7.8,11.5,1.64,10.4
STU/B/2021/00026,Chinyere Oduola,29,Female,Biochemistry,76.1,10.1,4.2,1.28,1
STU/EE/2023/00027,Ramatu Olagunju,17,Female,Electrical Engineering,60.9,26.9,6.4,3.39,25.5
STU/N/2022/00028,Yakubu Dada,22,Male,Nursing,65.6,7.7,4.7,1.28,3
STU/L/2023/00029,Laraba Oladipo,18,Female,Law,44.1,8.9,8.7,1.77,6.7
STU/BA/2024/00030,Mary Alayande,23,Female,Business Administration,60.1,18.8,15.5,2.77,23.3
STU/S/2024/00031,Haruna Issa,26,Male,Statistics,61.5,12.7,18.6,2.24,16.9
STU/S/2019/00032,Raliya Akinwale,18,Female,Statistics,62.8,29.1,15.3,3.62,21.7
STU/BA/2020/00033,Sunday Ugwuanyi,18,Male,Business Administration,66.1,15.3,11.2,4.21,18.2
STU/BA/2020/00034,Oluwabunmi Alayande,20,Female,Business Administration,72.1,26.3,14.5,4.01,24.8
STU/L/2023/00035,Leah Nwachukwu,17,Female,Law,51,17.1,7.6,1.55,6.7
STU/E/2020/00036,Fatima Afolabi,16,Female,Economics,100,27.5,20,4.77,35.9
STU/A/2024/00037,Adaeze Ogbu,23,Female,Accounting,30.1,13.8,4.9,1.12,7.4
STU/CE/2019/00038,Ife Nwachukwu,29,Female,Chemical Engineering,69.3,21.9,13.4,2.85,17.6
STU/N/2023/00039,Jide Fayemi,19,Male,Nursing,83.2,16.6,15.3,3.6,9
STU/N/2024/00040,Remi Biobaku,18,Female,Nursing,79.2,27.5,13.4,3.42,20.6
STU/ME/2022/00041,Matthew Banjo,25,Male,Mechanical Engineering,76.6,21.9,16.5,3.76,12.6
STU/MC/2022/00042,Wole Olanike,26,Male,Mass Communication,55.9,19.8,6.2,2.36,23.5
STU/AS/2022/00043,Asiya Ogunmola,28,Female,Agricultural Science,97.8,23.8,20,4.68,22
STU/M/2019/00044,Zainab Shuaibu,16,Female,Medicine,79.8,16.8,16,2.98,15
STU/ME/2021/00045,Matthew Oduola,19,Male,Mechanical Engineering,58,24.3,14.5,3.88,16.3
STU/E/2020/00046,Abiodun Amadi,24,Female,Economics,73.3,13.8,15.7,3.12,14.5
STU/M/2024/00047,Chizaram Opara,19,Male,Mathematics,80.9,29.5,16.6,3.95,16.7
STU/EE/2022/00048,Yetunde Agu,16,Female,Electrical Engineering,69.7,19.5,12.3,3.21,22.7
STU/B/2023/00049,Felix Dauda,29,Male,Biochemistry,75.3,14.9,16.5,2.91,20.1
STU/MC/2020/00050,Ibrahim Oladiran,22,Male,Mass Communication,69.8,10.5,14.4,2.8,20.5
STU/P/2020/00051,Ibrahim Olaposi,19,Male,Physics,51.5,12,4.6,1.7,11.4
STU/A/2023/00052,Abdullahi Fatoki,17,Male,Accounting,83.2,14.7,8.4,3.18,19.5
STU/BA/2020/00053,Luke Olayiwola,27,Male,Business Administration,48.5,16.5,7.2,2.22,11.3
STU/B/2022/00054,Onyekachi Ibrahim,25,Male,Biochemistry,24.2,9.1,3.2,1.16,1
STU/A/2021/00055,Folake Anyanwu,21,Female,Accounting,66.2,16.5,7.5,2.28,16.1
STU/MC/2019/00056,Uzoamaka Akintunde,29,Female,Mass Communication,86.3,27,16.7,4.95,26.9
STU/M/2019/00057,Uchenna Shuaibu,23,Male,Microbiology,89.2,27.5,14.6,4.52,20.5
STU/CE/2020/00058,Joseph Kadiri,23,Male,Chemical Engineering,83.4,26.9,20,4.73,23.4
STU/ME/2020/00059,Chukwudi Mohammed,20,Male,Mechanical Engineering,94.7,22.1,17.4,4.09,20.5
STU/N/2022/00060,Favour Alawode,21,Female,Nursing,73.5,15.9,12.8,3.21,17.4
STU/P/2022/00061,Amaka Olamosu,22,Female,Pharmacy,100,24.1,20,4.95,40.3
STU/A/2024/00062,Chizaram Bashorun,29,Male,Accounting,100,25,18,3.62,25.8
STU/E/2019/00063,Nike Afor,29,Female,Economics,64.3,17.9,12.6,3.16,14.7
STU/CS/2019/00064,Sarah Ukwuoma,16,Female,Computer Science,66,18.7,11.5,2.3,9.7
STU/AS/2019/00065,Nike Zannah,26,Female,Agricultural Science,61.5,12.1,7.1,1.96,11.9
STU/A/2023/00066,Joke Odunbaku,20,Female,Architecture,80.5,19.4,16,3.56,22.9
STU/M/2021/00067,Ogechi Ogunwale,16,Female,Microbiology,92.1,26.8,15.5,4.91,26.4
STU/AS/2022/00068,Tunde Oduola,20,Male,Agricultural Science,75.9,21.8,11.2,3.71,25.6
STU/CE/2022/00069,Oluwafemi Olaniran,17,Female,Chemical Engineering,87.4,30,20,4.64,36.1
STU/CE/2022/00070,Amaka Akintoye,23,Female,Civil Engineering,87.7,30,20,4.85,34.2
STU/BA/2024/00071,Ifeanyi Ogunwale,21,Male,Business Administration,71,18.1,18.5,3.69,11.1
STU/M/2021/00072,Deborah Shuaibu,26,Female,Microbiology,71.3,23.1,17.3,2.63,13.2
STU/A/2021/00073,Precious Olagunju,27,Female,Architecture,100,20.2,18.3,3.91,17.2
STU/L/2024/00074,Rebecca Ogundipe,30,Female,Law,94.1,27,20,4.91,30.4
STU/EE/2023/00075,Chukwuemeka Aladesanmi,28,Male,Electrical Engineering,86.3,14.8,12.2,2.33,22.4
STU/CE/2020/00076,Ibrahim Nwosu,24,Male,Chemical Engineering,48.3,16.2,13.4,2,12.1
STU/A/2022/00077,Philip Sani,24,Male,Accounting,61.8,12.2,5,1.45,12.9
STU/EE/2020/00078,Suleiman Ogunsanya,23,Male,Electrical Engineering,94,24.9,18.5,4.39,24.9
STU/P/2020/00079,Sade Alayanwa,25,Female,Pharmacy,52.2,21.2,17.2,3.12,22.8
STU/P/2019/00080,Comfort Fasanya,22,Female,Pharmacy,66.4,22.7,18.6,3.92,22.9
STU/N/2021/00081,Danladi Nnaji,28,Male,Nursing,82.7,14.5,3.7,1.52,5.4
STU/CE/2023/00082,Peter Oladele,26,Male,Chemical Engineering,85.2,20.7,10.5,2.93,14.7
STU/AS/2019/00083,Sola Olanipekun,30,Male,Agricultural Science,78.2,21.6,14.5,3.63,29.8
STU/ME/2019/00084,Dele Onu,27,Male,Mechanical Engineering,65.2,16.5,15.7,3.12,20.6
STU/ME/2023/00085,Mark Alamu,20,Male,Mechanical Engineering,48.3,20.2,10.4,2.77,17.9
STU/S/2022/00086,Sunday Fasanya,22,Male,Statistics,98,30,20,4.94,37.7
STU/CE/2022/00087,Samuel Dada,22,Male,Chemical Engineering,74.3,24.8,12.1,3.13,14.2
STU/M/2019/00088,Oluwakemi Fasanya,17,Female,Microbiology,79.2,19.3,11.3,2.62,20.4
STU/MC/2024/00089,Ogechukwu Akinola,17,Female,Mass Communication,58.6,20.1,10.6,2.58,17.5
STU/CE/2023/00090,Chukwudi Olagunju,20,Male,Chemical Engineering,51.4,6.9,5.7,1.79,8.2
STU/M/2021/00091,Mercy Oladele,18,Female,Medicine,45.6,18.8,13.3,2.76,9.6
STU/AS/2021/00092,Joshua Ibrahim,25,Male,Agricultural Science,75.2,14.2,14,3.03,20.4
STU/EE/2020/00093,Aminu Banjo,23,Male,Electrical Engineering,57.2,8.1,6.6,1.41,1.8
STU/P/2021/00094,Naomi Ugwu,22,Female,Pharmacy,96.5,24.5,16,4.1,21.3
STU/M/2021/00095,Femi Oladoja,17,Male,Medicine,83.7,23.7,18.7,3.33,18
STU/A/2021/00096,Richard Ihejirika,24,Male,Accounting,74.4,14.3,12.5,2.45,16.8
STU/M/2024/00097,Vincent Akinola,30,Male,Medicine,96,27.7,19.7,4.07,32.2
STU/AS/2023/00098,Nike Fayemi,20,Female,Agricultural Science,58.1,25.2,14.4,4.01,24.7
STU/P/2023/00099,Hope Alabi,24,Female,Pharmacy,98.7,18.1,13.9,3.11,15.6
STU/P/2022/00100,Chibundu Banjo,20,Male,Physics,88.5,10.4,11.8,2.8,25.5
STU/P/2020/00101,Felix Olaleye,17,Male,Pharmacy,96.6,17.9,13.6,2.5,8.2
STU/BA/2021/00102,Adaora Alade,25,Female,Business Administration,32.4,10.8,7.2,1.02,8.3
STU/EE/2019/00103,Peter Alayi,19,Male,Electrical Engineering,69.7,13,16.9,2.68,22.5
STU/A/2022/00104,Ikenna Okeke,22,Male,Architecture,49.7,9.7,5.4,1.75,1.8
STU/N/2021/00105,Rachel Ukwu,20,Female,Nursing,81.4,25.6,16.7,3.99,31
STU/E/2021/00106,Maryam Biobaku,26,Female,Economics,63,16.2,12.1,1.73,10.8
STU/B/2020/00107,Aisha Olajide,16,Female,Biochemistry,90.2,28.1,17.7,4.01,14
STU/N/2019/00108,Patience Alayo,30,Female,Nursing,94.6,25.4,18.4,4.19,20.2
STU/M/2024/00109,Rebecca Dada,23,Female,Microbiology,55.6,24,13.9,3.41,21.2
STU/MC/2024/00110,Bose Balogun,28,Female,Mass Communication,74.8,25,17.1,4,28.1
STU/A/2019/00111,Rose Agu,16,Female,Architecture,60.5,12.5,10.9,3.42,26.2
STU/MC/2020/00112,Mercy Fatoumbi,22,Female,Mass Communication,86.5,30,20,4.65,26.8
STU/BA/2024/00113,Andrew Ukwu,17,Male,Business Administration,100,23.4,15,4.24,18.4
STU/MC/2023/00114,Comfort Chukwu,19,Female,Mass Communication,43.5,11.4,9.3,1.49,8.4
STU/P/2023/00115,Rebecca Ogundele,27,Female,Pharmacy,57.8,22.7,16.6,3.88,21.2
STU/CE/2021/00116,Uche Akinwumi,22,Male,Chemical Engineering,66.4,24.2,8.9,3.01,13.3
STU/L/2023/00117,Kelechi Olayemi,20,Male,Law,41.5,15.4,5.9,1.5,8.1
STU/ME/2021/00118,Philip Shehu,16,Male,Mechanical Engineering,93.7,29.3,16.9,4.79,30.3
STU/E/2024/00119,Abiodun Olanike,19,Female,Economics,83.3,22.6,18.2,4.22,25.9
STU/P/2022/00120,Sarah Dauda,18,Female,Pharmacy,92,22.8,16.5,4.04,24.1
STU/P/2022/00121,Yemi Adesanya,29,Male,Physics,48.2,13.6,10.9,2.31,7.3
STU/EE/2021/00122,Susan Balogun,16,Female,Electrical Engineering,55.3,7.9,6.6,2.13,10.1
STU/N/2020/00123,Precious Biobaku,16,Female,Nursing,55.1,15.7,10.5,2.6,14.4
STU/M/2022/00124,Zainab Fatoye,24,Female,Medicine,95.7,28.8,17.2,4.76,22.6
STU/AS/2024/00125,David Alade,30,Male,Agricultural Science,61.2,24.2,18,3.06,30.9
STU/CS/2021/00126,Esther Olaposi,21,Female,Computer Science,47.2,18.5,12.6,2.32,9.5
STU/EE/2022/00127,Aliyu Dauda,25,Male,Electrical Engineering,45.1,17.6,13.2,2.92,12.2
STU/A/2023/00128,Yakubu Oladiran,27,Male,Accounting,42.2,7,8.8,1.82,1
STU/MC/2020/00129,Oluwakemi Aladesanmi,22,Female,Mass Communication,74.3,22.7,8.9,2.26,16.8
STU/S/2023/00130,Lydia Muhammed,20,Female,Statistics,62.5,23.2,12.4,4.08,18.5
STU/P/2023/00131,Oluwabunmi Zakariyau,29,Female,Pharmacy,61.9,13.4,18,2.38,16.9
STU/CE/2024/00132,Ife Ihejirika,17,Female,Chemical Engineering,93.1,19,13.4,3.46,17.4
STU/CS/2019/00133,Thomas Odunbaku,24,Male,Computer Science,100,30,20,4.91,25.6
STU/L/2024/00134,Garba Ume,27,Male,Law,62.9,30,13.5,3.89,27.8
STU/CS/2020/00135,Damilola Alayande,20,Male,Computer Science,100,27.6,12,3.27,33.9
STU/BA/2022/00136,Gambo Kadiri,26,Male,Business Administration,50.7,16.2,14.1,2.03,13.1
STU/ME/2023/00137,Amaka Akintoye,22,Female,Mechanical Engineering,83.5,24.8,14.4,3.68,25.1
STU/S/2024/00138,Oluwafemi Banjo,16,Female,Statistics,91,20.4,15.7,3.67,17.3
STU/S/2023/00139,Richard Ogbu,18,Male,Statistics,25.5,21.9,9.4,2.91,22.5
STU/MC/2023/00140,Nike Anyanwu,27,Female,Mass Communication,48.6,17.7,10.3,2.45,19.2
STU/A/2022/00141,Ahmed Olayanwo,23,Male,Architecture,18.2,9.5,3.8,1.36,9
STU/M/2020/00142,Henry Odum,25,Male,Mathematics,45.7,4.1,9.2,1.29,5.1
STU/N/2022/00143,Safiya Opara,30,Female,Nursing,85.3,10,8.1,2.53,19.9
STU/CS/2021/00144,Niyi Zakariyau,28,Male,Computer Science,25.5,6.7,10.6,1.09,1
STU/EE/2024/00145,Kelechi Dada,28,Male,Electrical Engineering,53.2,16.3,16.9,3.64,19.1
STU/S/2023/00146,Josephine Oladele,24,Female,Statistics,61.3,13.7,8.3,1.87,6.3
STU/S/2023/00147,Aisha Nwosu,20,Female,Statistics,100,26.9,16.2,4.51,29
STU/P/2024/00148,Ogechukwu Olawoye,28,Female,Pharmacy,64.5,18.2,10.5,3.1,17.1
STU/EE/2020/00149,Grace Akintunde,24,Female,Electrical Engineering,48.8,19.5,10,2.65,17.8
STU/AS/2019/00150,Chinwe Zakariyau,25,Female,Agricultural Science,47.7,15.4,9,1.16,1
STU/CE/2021/00151,Hassan Akintoye,27,Male,Civil Engineering,88.9,30,18.4,5,27.9
STU/MC/2023/00152,Ogechi Olanipekun,30,Female,Mass Communication,60.2,28.1,17.9,2.99,8
STU/CS/2021/00153,Felix Olayemi,20,Male,Computer Science,52.5,16.9,13.2,3.21,22
STU/E/2019/00154,Mercy Zannah,23,Female,Economics,69.4,12.4,6.6,1.67,8.1
STU/CS/2019/00155,Chukwuemeka Mohammed,22,Male,Computer Science,44.4,9.9,9.2,1.55,11.3
STU/CS/2019/00156,Safiya Mbah,16,Female,Computer Science,73.2,18,20,3.12,27.4
STU/M/2019/00157,Thomas Ugwu,25,Male,Mathematics,76.4,16.7,11.1,3.11,21.1
STU/ME/2019/00158,Chinwe Yakubu,22,Male,Mechanical Engineering,73.6,15.1,11,2.52,17.6
STU/S/2021/00159,Oluwaseun Sani,19,Male,Statistics,87.3,23,17.7,4.61,38.8
STU/A/2023/00160,Bello Bewaji,18,Male,Architecture,74,23.6,13.6,4.01,26.4
STU/ME/2021/00161,Richard Fatoumbi,24,Male,Mechanical Engineering,80.8,25.9,16.6,3.98,25.6
STU/S/2019/00162,Oluwabunmi Mbah,21,Female,Statistics,60.4,18.3,15.1,3.21,14.6
STU/CE/2023/00163,Sade Nnaji,27,Female,Chemical Engineering,59.2,17.9,14.5,2.56,12.8
STU/ME/2023/00164,Remi Odunbaku,21,Male,Mechanical Engineering,66.4,14.5,10.8,3.22,19.4
STU/P/2022/00165,Joseph Ogunmola,18,Male,Pharmacy,42.9,15.5,10.9,1.56,10.6
STU/BA/2024/00166,Joseph Odum,17,Male,Business Administration,56.3,15,8,1.54,11
STU/M/2021/00167,Catherine Biobaku,25,Female,Medicine,100,30,20,4.79,25.8
STU/CE/2021/00168,Miriam Chukwu,30,Female,Civil Engineering,96.2,16.2,11.8,3.26,16.5
STU/E/2024/00169,Kemi Muhammed,18,Female,Economics,79.1,27.8,13.7,3.53,12.2
STU/N/2019/00170,David Oladele,27,Male,Nursing,100,22.1,17.5,4.58,34.7
STU/M/2024/00171,Hauwa Mbah,28,Female,Medicine,77.4,17.7,8.4,2.72,15.3
STU/CS/2020/00172,Zainab Idris,23,Female,Computer Science,36.8,1.5,11.3,1.42,16.5
STU/E/2023/00173,Chinyere Musa,17,Female,Economics,61.9,14.3,10.4,2.75,24.6
STU/M/2020/00174,Chukwudi Ogundele,24,Male,Medicine,85,10.5,13.3,2.71,13.5
STU/P/2021/00175,Deborah Ugwuanyi,16,Female,Pharmacy,89.2,29.9,16.3,3.82,20.9
STU/MC/2021/00176,Sarah Ogundele,26,Female,Mass Communication,76.9,11.8,12.3,2.25,16.3
STU/CE/2024/00177,Philip Zakariyau,21,Male,Chemical Engineering,43.8,13,6.4,1.47,2.3
STU/L/2022/00178,Michael Jibrin,18,Male,Law,73.4,21,14.9,2.96,15.7
STU/A/2022/00179,Asiya Olaniran,26,Female,Accounting,65.5,14.6,14.8,2.97,22.9
STU/L/2022/00180,Gift Olanipekun,24,Female,Law,36.6,15.7,11,1.45,9.9
STU/M/2024/00181,Peter Ogunsola,29,Male,Microbiology,86.8,30,20,5,25.1
STU/P/2021/00182,Oluwafemi Odunbaku,25,Female,Physics,47.4,11.8,9.9,1.56,12.8
STU/MC/2024/00183,Folake Olayinka,30,Female,Mass Communication,100,28.7,17,3.72,11.1
STU/P/2024/00184,Suleiman Olajide,23,Male,Pharmacy,47.1,7.3,4.9,1.57,7.2
STU/BA/2022/00185,Chinwe Issa,23,Female,Business Administration,85.5,15.3,10.1,2.31,5.1
STU/M/2024/00186,Catherine Olayiwola,29,Female,Medicine,62.7,12.2,9.5,2.13,17.3
STU/CS/2024/00187,Bose Akinwumi,17,Female,Computer Science,100,30,20,4.72,28
STU/N/2019/00188,Jide Idris,26,Male,Nursing,93.4,29.9,20,4.62,25
STU/CE/2024/00189,Nnamdi Nnaji,25,Male,Chemical Engineering,52.6,12.5,7.3,1.9,1.9
STU/N/2023/00190,Esther Afor,30,Female,Nursing,56.8,9.2,13.9,2.2,17.5
STU/N/2021/00191,Bimpe Alawode,27,Female,Nursing,52.4,3.7,6.6,1.85,6.7
STU/S/2023/00192,Joshua Kadiri,20,Male,Statistics,100,22.3,19.1,3.58,20.4
STU/P/2022/00193,David Dauda,20,Male,Pharmacy,84.3,15.2,15.2,3.58,26.1
STU/L/2022/00194,Hauwa Alabi,26,Female,Law,71.7,0.2,10,1.69,15.3
STU/A/2023/00195,Rebecca Olanubi,27,Female,Accounting,52.3,13,12.4,2.61,16.8
STU/M/2024/00196,Goodluck Oladiran,27,Male,Microbiology,82.3,20.5,11.5,2.75,16.3
STU/CE/2019/00197,Henry Unachukwu,16,Male,Civil Engineering,79.8,21.3,19.4,3.83,20.9
STU/M/2023/00198,Tobi Banjo,28,Male,Medicine,42.4,14.4,11.7,2.72,22.7
STU/B/2020/00199,Wole Zakariyau,28,Male,Biochemistry,24.7,7.4,7.9,1.41,13.5
STU/L/2019/00200,Chibundu Oladele,28,Male,Law,100,27.9,15.7,4.66,25.6
STU/P/2020/00201,Garba Obi,19,Male,Physics,100,24.6,20,4.22,27.5
STU/AS/2022/00202,Adaeze Akindele,19,Female,Agricultural Science,96.3,14.3,10.6,2.86,17.1
STU/CS/2019/00203,Favour Yakubu,21,Female,Computer Science,24.1,1.6,5.8,1.01,2.7
STU/MC/2023/00204,Obinna Fasanya,22,Male,Mass Communication,79.9,15.9,20,3.8,24.4
STU/S/2020/00205,Nnamdi Afor,20,Male,Statistics,44.9,20.3,8.1,2.04,3.7
STU/BA/2024/00206,Abimbola Olayemi,21,Female,Business Administration,75.3,6.9,10,2.63,16.3
STU/M/2022/00207,Michael Olaniran,29,Male,Mathematics,100,30,20,4.43,25.4
STU/CE/2024/00208,Philip Ogbu,23,Male,Civil Engineering,50,10.8,6,1.41,15.6
STU/ME/2023/00209,Yemi Olayemi,16,Female,Mechanical Engineering,100,30,20,4.99,27.9
STU/E/2023/00210,Oluwakemi Oladele,16,Female,Economics,40.6,13.1,12.6,2.53,17.9
STU/E/2024/00211,Joke Idris,22,Female,Economics,86.6,27.6,16,4.53,30.6
STU/N/2022/00212,Safiya Alayi,30,Female,Nursing,53,19,16.1,3.26,25.8
STU/P/2020/00213,Wole Akinola,17,Male,Physics,55.9,18.4,10.7,1.99,3.3
STU/N/2020/00214,Fatima Eze,30,Female,Nursing,39.2,20,11.6,3.37,17.3
STU/EE/2020/00215,Daniel Olaleye,19,Male,Electrical Engineering,93.1,21.8,12.4,3.41,26.1
STU/CE/2020/00216,Innocent Shuaibu,29,Male,Civil Engineering,58.8,18.6,14.3,3.11,16.1
STU/E/2021/00217,Ebere Ukwu,26,Female,Economics,53.9,10,13.6,2.27,8.5
STU/A/2019/00218,Chidera Okoro,22,Male,Architecture,100,27.4,14,4.4,28.1
STU/ME/2024/00219,Peace Alayemi,19,Female,Mechanical Engineering,51.8,20.8,16.3,2.39,11.6
STU/CE/2019/00220,Aina Olaposi,27,Female,Civil Engineering,18.9,3.2,9.2,1.01,15.3
STU/P/2019/00221,Isa Ogundipe,23,Male,Physics,51.4,6.8,3.9,1.29,18
STU/CS/2024/00222,Susan Muhammed,22,Female,Computer Science,100,30,20,4.77,29.8
STU/M/2020/00223,Precious Okafor,20,Female,Microbiology,72.8,14.8,10.3,1.95,8.5
STU/P/2023/00224,Haruna Agu,26,Male,Physics,69.7,21.1,12.9,2.17,10.5
STU/P/2023/00225,Sade Saidu,21,Female,Pharmacy,66.8,13.3,8.1,1.75,19.2
STU/L/2022/00226,Victor Eze,16,Male,Law,87,28.2,14.9,4.36,16.2
STU/CE/2023/00227,Ibrahim Alawode,28,Male,Civil Engineering,75.6,17.1,12.8,2.8,19.4
STU/ME/2022/00228,Damilola Dauda,22,Male,Mechanical Engineering,75.1,12.8,11.9,3.23,7.9
STU/CE/2024/00229,Chisom Odunbaku,25,Male,Chemical Engineering,77.1,11.5,17.7,3.35,16.8
STU/EE/2024/00230,Ife Yakubu,18,Female,Electrical Engineering,63.8,17.4,13.1,2.1,11.4
STU/N/2024/00231,Kemi Ogunleye,16,Female,Nursing,63.8,12.1,14,2.35,5.2
STU/M/2024/00232,Chibundu Dada,23,Male,Mathematics,15.9,15.6,4.6,1.85,10.9
STU/MC/2022/00233,Chibundu Biobaku,30,Male,Mass Communication,88.2,27.7,14.3,3.27,20.8
STU/CS/2024/00234,Onyekachi Alabi,19,Male,Computer Science,63.3,14.1,10.2,2.49,18.9
STU/P/2020/00235,Philip Ukwu,16,Male,Pharmacy,14.9,7,11,1.65,3.4
STU/S/2020/00236,Uchenna Alade,20,Male,Statistics,65.8,27.3,12.8,3.43,19.2
STU/A/2024/00237,Folake Ugwuanyi,17,Female,Architecture,79.5,8.1,8.2,1.03,1
STU/B/2021/00238,Priscilla Odum,26,Female,Biochemistry,75.8,26.2,14.4,3.84,27.8
STU/E/2022/00239,Mark Alayi,20,Male,Economics,42.6,15.7,14.2,2.04,13.2
STU/P/2021/00240,Esther Onwudiwe,29,Female,Physics,75.2,19.3,14.3,3.63,13.4
STU/N/2023/00241,Babatunde Ibrahim,19,Male,Nursing,75.4,30,15.3,3.98,27
STU/MC/2022/00242,Sola Alawode,17,Male,Mass Communication,100,24.6,19.9,4.47,35.9
STU/ME/2023/00243,Idris Ogunwale,23,Male,Mechanical Engineering,72.9,15,13.7,2.33,15.3
STU/P/2024/00244,Ngozi Ogunsola,22,Female,Pharmacy,100,28.4,20,4.86,30.6
STU/S/2021/00245,Idris Umeh,27,Male,Statistics,90,29,15.7,4.51,26.8
STU/M/2019/00246,Daniel Jibrin,30,Male,Medicine,71.2,18.8,11.1,2.96,24.9
STU/CE/2024/00247,Damilola Dauda,21,Male,Civil Engineering,86.4,19.9,12.7,3.84,16.1
STU/P/2021/00248,Mary Ogunleye,17,Female,Pharmacy,58.8,17.8,13.9,3.19,16.3
STU/A/2024/00249,Nuhu Alao,29,Male,Accounting,73.1,27.3,17.5,4.59,36
STU/EE/2020/00250,Onyekachi Olapade,24,Male,Electrical Engineering,70.1,21.4,19.7,2.99,17.3
STU/CE/2022/00251,Goodluck Anyanwu,30,Male,Civil Engineering,60.6,25.5,8.6,2.02,16.7
STU/EE/2021/00252,Ayo Anyanwu,16,Male,Electrical Engineering,96.6,25.5,16.4,4.41,23
STU/P/2023/00253,Aina Olawal,23,Female,Pharmacy,34.3,19.1,11.2,2.09,4.9
STU/P/2022/00254,Nike Okeke,25,Female,Physics,55.8,15.8,11.9,2.52,10.7
STU/B/2024/00255,John Ihejirika,26,Male,Biochemistry,52.5,9.2,10.8,2.26,6.4
STU/S/2020/00256,Hauwa Olayode,23,Female,Statistics,44.2,13.8,8.2,2.38,17
STU/E/2022/00257,Nana Fatoumbi,29,Female,Economics,50,8.1,7.1,1.66,12.7
STU/E/2023/00258,John Ogunwale,23,Male,Economics,58.1,21.5,9.8,2.26,17.9
STU/MC/2024/00259,Bose Olalusi,24,Female,Mass Communication,35,3.9,8.3,1.83,11.5
STU/CE/2019/00260,Adanna Issa,17,Female,Civil Engineering,100,25.4,19.3,4.04,30.2
STU/A/2024/00261,Luke Ogundele,17,Male,Accounting,57.8,15.5,10.8,2.02,8.6
STU/BA/2023/00262,George Yakubu,23,Male,Business Administration,70.7,24.5,14.8,3.63,15.3
STU/A/2021/00263,Garba Fatoumbi,18,Male,Architecture,94.1,26.9,11.2,3.92,17.1
STU/CE/2020/00264,Kunle Ogunsanya,22,Male,Chemical Engineering,75.8,24.9,12.1,3.41,23.5
STU/N/2023/00265,Deborah Olaleye,30,Female,Nursing,100,22.1,18.8,3.69,20.3
STU/L/2020/00266,Oluwatobi Olagunju,20,Female,Law,80.2,26.7,18.5,4.51,30.8
STU/CE/2023/00267,Toyin Akinola,29,Female,Chemical Engineering,45.9,6.7,4.1,1.25,5.4
STU/EE/2022/00268,Ogechi Uzoma,30,Female,Electrical Engineering,69,10.3,14,2.53,9.4
STU/A/2019/00269,Bimpe Aladesanmi,24,Female,Architecture,92.2,30,17.5,3.95,28.6
